HolderAddress,Balance,PendingBalanceUpdate
0x00ca4a9e6a469d103abd33e00da27fe259da67b2,100,No
0x00caca2529b78f5f32d2f25dc143987b2ca91f8a,3680.405614,No
0x00cc96c9280c1f7bf2827b6b64629b3b726acb43,92,No
0x00cd0cddfbaa920e3c483646462e8a8eac9fa3bb,100,No
0x00ce07595100dd1d97c5fa4c2c6a83dfc859cbea,100,No
0x00ceabec4dc326d689880216aaf98a786ce4e3a0,100,No
0x00d09854a293a64ee335d407f1bacbc1bea68935,25,No
0x00d109051dff7b64b55947c60184050ed389bdb1,100,No
0x00d632cba005c835f49d764fdffa5891d4b015b4,100,No
0x00d6f42a9f9a6b90ac438f5e7b7bfeaaa99a3cd4,100,No
0x00d7b44598e95abf195e4276f42a3e07f9d130e3,100,No
0x00d9dc98cd35d297c22b4ea8fda58562164f3dca,100,No
0x00d9ef6847b42d81d866589d8a7f477439f9ce2c,641.375,No
0x00dc5fcf5a87d72ea2ffe1297b7d4eeea45ccd02,65,No
0x00dcc9e66461240003e40c4389c30a97305d2b60,100,No
0x00dcd60355df8e94ce0e595489061b8006e278bb,36007.11901,No
0x00dfb6b4005b6e126ec4532c2c52f682d8187600,11034.0727,No
0x00dfe3184fabf61d3537580a2b0f5171b2d3c953,100,No
0x00e22f15e5e6bb28f32680ee211ea2bfb73f657d,10815.58544,No
0x00e383e7cd43858f87c5866a580ba8b41146b445,2,No
0x00e509ab1ed2f557a5d6f665d4263be015e53df0,100,No
0x00e547fb823c5e8d99450355d914406631882d2a,100,No
0x00e69217b947bf94d4aeeeac83c9b57ecb87c940,242.4834577,No
0x00e817b31818685648b1f1b08e9d288f8be153c4,9218.09678,No
0x00e8bd75f420ba95e3efbdd0aafd53a883bd391a,0.7574454,No
0x00e91dbdadafb5cb97c9e421555d365427cf21ad,160.6330353,No
0x00ec6a8d7fd7d8a54118bda98792b19c4906c59c,15038,No
0x00f0f8cfcb278edea63ff05ce6849647b77fcafc,27078.85819,No
0x00f26ece6c8716bdded31924b446c92ff388aee2,100,No
0x00f2fa6bc507405105a9a76a4e4fdfa5983855ff,1.00E-07,No
0x00f3431bbd68a6d1d886546f5e92b6f7797b5b33,975.2979,No
0x00fc6300b77a8ea902d576eafaa9ba40daa7c415,20139.7697,No
0x00fe0e72969a623ca7b3287b43eb1164d298ec56,182.444,No
0x00fe15169739cf2e363be1ff377063b644004acc,1,No
0x00fe52a61fd6eda72fb38332a0eb78f468eff60e,0.1,No
0x00fe6dfbf73c5cdeee66ec5db09314c4e86ea954,12922.518,No
0x00ff91ad5d88cc7c3cc2b270bce8a7cb5a7613f4,10992.945,No
0x01073aa44bdd1aa3bb9c150acfe3a5b929f39354,1.25,No
0x010856b8a3ce4701016a1d0c9572423c7f4c733d,10,No
0x010f30bec07b8ffc8557fed51203f41c478adfa2,3972,No
0x0110adcff74ed3568ea61f86cf237eb452e79ddc,1.00E-07,No
0x0113cc86136da1a6780c1b2c3ac998af583d2d4f,4790.435,No
0x011565a429817048b06e86008961a9c61b6a73b7,100,No
0x011620b4eb7b3336d0639ed65b973450ba709920,100,No
0x0117685879654fd1fba331942450553cb7a1130c,11071.45732,No
0x0117e8efcc38d9510c84613a0b810c1a0d055769,100,No
0x0118c2112d95da7af75797c6f31d511324608207,42495.62242,No
0x011917dd962090d9a92bc7bbbe799d0660b8d239,1000,No
0x011964f9adab3001ec8995ec46f9deeb8e3c5164,100,No
0x011a1065b5c64e5b09e4aab524eaaf5d1ad340f6,2122.690147,No
0x011ae23e72106238f268c7f673059249362e659b,100,No
0x011d9da6b29464b3d2acd6ac02b0597fcc806ccd,130200,No
0x01226b3bc11e86cead18310afaede526b33366ef,1071.00366,No
0x01231f1f819216fede1388ed6473913b30c71e69,12.676,No
0x0124024633a42bf02d812f0929a9fc2f822cc3dc,100,No
0x012c0dcbc651f226e16845a1cfccf5f6e05f46e2,100,No
0x012d2c4c87d56c9362231a5c21c8f2acd4ff36a3,100,No
0x012dd9c87bef47c10fcb6a20cc00a799e62280c8,3444,No
0x0130226fe700b96eb861f54a41d89a9fc4c72246,69.8405,No
0x0132ca18abd9bb9e2ce9b0cf12901cffabfca595,2266.683,No
0x013440e63f3f5e9de0969d80be5599c3888f4aba,439.056,No
0x01345da832d4fb5807a02b94aa3e78bcdcc7b87c,1.00E-07,No
0x0134bb2d69e02cb5eb295e6be49aefd3d3a4f3ba,552.80404,No
0x0134eaecb3d1bdf1b0a6cb1a9a86e9bb8c2e9838,1270,No
0x013610427adcab6e1eb3e10b62cb6c7a2d813a65,8645.0797,No
0x013d468e638508c1927f080afa98ac6581849ad9,25090,No
0x013d54d36676218a3ce31c4b5c4bbfef8196a635,2568.5955,No
0x013e14ab2e481fc9424d6a214b43e38658d2a32a,100,No
0x0140ea35077ce4c6e6a24df9c28fe686a8650828,10,No
0x0141a91ee376a1cd2077fa0938abdf16045bb375,190,No
0x0142fc6420575cdcdafb4047a8d22177fa0c4728,100,No
0x0147d7ea5af37b699e63fc44c5f7c3be31ea6624,100,No
0x01495924aa57630defe2124ef7b0ab9e87f5a085,2042,No
0x014fe9d3fa10e7b03ea2c843328e48d010a8171e,527.317599,No
0x015284a1d0958d325ab2840c1abf9de19db06d3e,100,No
0x01553cdeaac317e08e78b971a99b69f14c625096,29.179,No
0x01567b5adcae85a229769bf0387d2a72075301b3,100,No
0x0157e657bcfe4319ba59db48aa1b56222cd0d53b,100,No
0x015a86fa8b0daeedf2d434701f22a681e6149d06,7655.9291,No
0x015b4cf01a352da8f7192fdce17f3f0d016474d7,13355,No
0x015b52ad53017711da3da79cbf3a4a3fad54049d,100,No
0x01628300f25eb6508f6db3bb56326a3e8c576152,10,No
0x0162e664a099414c213347736b038671d73d1c49,100,No
0x0162e90497adbc68d9c5d4b8819e36b1d0597aab,6587.26169,No
0x0163f9dd011c43b08f711fd80333d3d7a92204af,3660.947,No
0x01659e59f1bd1dc3833549e9d225ca070aa62126,100,No
0x0168716cc992849cb365730768db6a8f51de2cb0,3099.416145,No
0x016bae1392874c4090e6071754fce672095a43ff,100,No
0x016c1509d4fc10dbdbfe11f2fe103a7a1f04ff88,8091.43844,No
0x016ca4017ae4abb05e08efd44d92f65e20ae81fb,25,No
0x016cfa059e89b3ee0e27571bb0e49fb2b36ecce2,100,No
0x016d0d6d353cee37579e48740abf238968bcf255,100,No
0x016fc40e6b58bbb3b2282a35e6b952864bc5754b,110,No
0x01728d8c29d52bdae79a33d63f00060e0a4807db,1596.681,No
0x0173736c77f6405a7d1826e48403831f843a3b14,2637,No
0x017b884b6008965d52f4bfff183c52ccb2e7ccde,100,No
0x017fa7fcc0bf3bcd76e6929e225044a89624fd2e,493.13956,No
0x0180a2a81e7e1431791791fd1eb31c796e7dc5d0,555,No
